performance_country,composer,composer_nationality,gender,work,performances
United States,Adamo,United States,m,Becoming Santa Claus,4
United States,Adamo,United States,m,Little Women,2
United States,Adamo,United States,m,Little Women,2
United States,Adamo,United States,m,Little Women,2
United States,Adamo,United States,m,Little Women,4
United States,Adamo,United States,m,Little Women,2
United States,Adamo,United States,m,Little Women,4
United States,Adamo,United States,m,Little Women,2
United States,Adamo,United States,m,The Gospel of Mary Magdalene,7
Australia,Adams,United States,m,Nixon in China,4
France,Adams,United States,m,A Flowering Tree,5
France,Adams,United States,m,Doctor Atomic,1
France,Adams,United States,m,Doctor Atomic,4
France,Adams,United States,m,I Was Looking at the Ceiling and then I Saw the Sky,4
France,Adams,United States,m,The Gospel According to the Other Mary,1
Germany,Adams,United States,m,Doctor Atomic,9
Germany,Adams,United States,m,Nixon in China,10
Germany,Adams,United States,m,The Gospel According to the Other Mary,6
Italy,Adams,United States,m,I Was Looking at the Ceiling and then I Saw the Sky,6
Netherlands,Adams,United States,m,Nixon in China,1
Netherlands,Adams,United States,m,The Gospel According to the Other Mary,1
New Zealand,Adams,United States,m,Nixon in China,2
Portugal,Adams,United States,m,A Flowering Tree,2
Spain,Adams,United States,m,Doctor Atomic,3
Sweden,Adams,United States,m,A Flowering Tree,10
Sweden,Adams,United States,m,Nixon in China,10
United Kingdom,Adams,United States,m,El Nino,1
United Kingdom,Adams,United States,m,The Gospel According to the Other Mary,1
United Kingdom,Adams,United States,m,The Gospel According to the Other Mary,6
United States,Adams,United States,m,A Flowering Tree,2
United States,Adams,United States,m,Doctor Atomic,6
United States,Adams,United States,m,El Nino,3
United States,Adams,United States,m,Girls of the Golden West,8
United States,Adams,United States,m,I Was Looking at the Ceiling and then I Saw the Sky,1
United States,Adams,United States,m,Nixon in China,4
United States,Adams,United States,m,Nixon in China,5
United States,Adams,United States,m,Nixon in China,2
United States,Adams,United States,m,The Death of Klinghoffer,2
United States,Adams,United States,m,The Death of Klinghoffer,8
United States,Adams,United States,m,The Gospel According to the Other Mary,1
Germany,Aderhold,Germany,m,Orlando,8
Austria,Ades,United Kingdom,m,The Exterminating Angel,4
Austria,Ades,United Kingdom,m,The Tempest,5
Austria,Ades,United Kingdom,m,The Tempest,3
Belgium,Ades,United Kingdom,m,Powder her face,8
Canada,Ades,United Kingdom,m,Powder her face,3
Czech Republic,Ades,United Kingdom,m,Powder her face,1
Czech Republic,Ades,United Kingdom,m,Powder her face,6
Czech Republic,Ades,United Kingdom,m,Powder her face,4
Czech Republic,Ades,United Kingdom,m,Powder her face,4
Denmark,Ades,United Kingdom,m,Powder her face,6
Denmark,Ades,United Kingdom,m,The Exterminating Angel,7
Germany,Ades,United Kingdom,m,Powder her face,6
Germany,Ades,United Kingdom,m,Powder her face,9
Germany,Ades,United Kingdom,m,Powder her face,4
Germany,Ades,United Kingdom,m,Powder her face,2
Germany,Ades,United Kingdom,m,Powder her face,6
Germany,Ades,United Kingdom,m,Powder her face,5
Germany,Ades,United Kingdom,m,The Tempest,5
Hungary,Ades,United Kingdom,m,The Tempest,4
Ireland,Ades,United Kingdom,m,Powder her face,1
Ireland,Ades,United Kingdom,m,Powder her face,2
Ireland,Ades,United Kingdom,m,Powder her face,1
Ireland,Ades,United Kingdom,m,Powder her face,1
Ireland,Ades,United Kingdom,m,Powder her face,1
Ireland,Ades,United Kingdom,m,Powder her face,1
Poland,Ades,United Kingdom,m,Powder her face,5
Poland,Ades,United Kingdom,m,Powder her face,2
Spain,Ades,United Kingdom,m,Powder her face,2
United Kingdom,Ades,United Kingdom,m,Powder her face,9
United Kingdom,Ades,United Kingdom,m,Powder her face,2
United Kingdom,Ades,United Kingdom,m,The Exterminating Angel,6
United States,Ades,United Kingdom,m,Powder her face,4
United States,Ades,United Kingdom,m,Powder her face,5
United States,Ades,United Kingdom,m,Powder her face,2
United States,Ades,United Kingdom,m,The Exterminating Angel,8
United States,Ades,United Kingdom,m,The Tempest,7
Azerbaijan,Adigozalov,Azerbaijan,m,Natavan,1
Azerbaijan,Adigozalov,Azerbaijan,m,Natavan,1
Azerbaijan,Adigozalov,Azerbaijan,m,Natavan,1
Lithuania,Adomaitis,Lithuania,m,E-Carmen,1
France,Adwan,Palestine,m,Kalila wa Dimna,2
France,Adwan,Palestine,m,Kalila wa Dimna,6
France,Adwan,Palestine,m,Kalila wa Dimna,3
Denmark,Agerfeldt Olesen,Denmark,m,The Picture of Dorian Gray,4
Brazil,Aguiar,Brazil,m,O Menino Maluquinho,6
Estonia,Aints,Estonia,m,Rehepapp,8
Estonia,Aints,Estonia,m,Rehepapp,10
Estonia,Aints,Estonia,m,Rehepapp,6
Estonia,Aints,Estonia,m,Rehepapp,5
Turkey,Akbasli,Turkey,m,Muhtesem Suleyman,5
Turkey,Akbasli,Turkey,m,Muhtesem Suleyman,1
Turkey,Akbasli,Turkey,m,Muhtesem Suleyman,3
Russia,Akhiyarova,Russia,f,The Love of the Poet,1
Russia,Akhiyarova,Russia,f,The Love of the Poet,1
Russia,Akhiyarova,Russia,f,The Love of the Poet,1
Azerbaijan,Akhundova,Azerbaijan,f,Galin gayasi,1
Germany,Akyol,Turkey,m,Ali Baba and the Forty Thieves,9
Germany,Akyol,Turkey,m,Ali Baba and the Forty Thieves,7
France,Alagna,France,m,Le dernier jour d'un condamne,2
France,Alagna,France,m,Le dernier jour d'un condamne,3
Argentina,Albeniz,Spain,m,Pepita Jimenez,3
Spain,Albeniz,Spain,m,Pepita Jimenez,4
Italy,Albinoni,Italy,m,"Zenobia, regina de' Palmireni",3
Germany,"Albrecht,G",Germany,m,Die Schneekonigin,13
Germany,"Albrecht,H",Germany,m,Ritter Parceval,3
United States,Aldridge,United States,m,Elmer Gantry,2
United States,Aldridge,United States,m,Elmer Gantry,2
Denmark,Alenius,Denmark,f,Silent Zone,2
Denmark,Alenius,Denmark,f,Silent Zone,12
Denmark,Alenius,Denmark,f,Silent Zone,4
Ireland,Alfano,Italy,m,Risurrezione,5
Italy,Alfano,Italy,m,Sakuntala,7
