ISO,Country_EN,Zone,Year,Score,Rank,Political Context,Rank_Pol,Economic Context,Rank_Eco,Legal Context,Rank_Leg,Social Context,Rank_Soc,Safety,Rank_Saf,Rank N-1,Rank evolution,Score evolution
AFG,Afghanistan,Asie-Pacifique,2022,38.27,156,44.65,132,43.88,82,42.54,152,43.33,161,16.96,171,122,-34,
AFG,Afghanistan,Asie-Pacifique,2023,39.75,152,48.96,120,44.93,103,42.77,145,30.68,165,31.41,161,156,4,1.48
AFG,Afghanistan,Asie-Pacifique,2024,19.09,178,20.07,164,29.06,164,16.35,179,16.07,179,13.9,179,152,-26,-20.66
AFG,Afghanistan,Asie-Pacifique,2025,17.88,175,17.78,163,25.1,165,11.43,178,18.92,175,16.16,175,178,3,-1.21
AGO,Angola,Afrique,2022,57.17,99,52.83,100,35.03,127,61.11,106,73,75,63.87,97,103,4,
AGO,Angola,Afrique,2023,48.3,125,43.57,137,31.79,163,51.21,125,54.71,126,60.2,104,99,-26,-8.87
AGO,Angola,Afrique,2024,52.44,104,40.82,115,36.81,128,55.98,109,58.33,102,70.25,100,125,21,4.14
AGO,Angola,Afrique,2025,52.67,100,38.68,118,30.25,155,56.94,101,63.82,76,73.66,98,104,4,0.23
ALB,Albania,Europe - Asie centrale,2022,56.41,103,50.55,113,29.39,154,68.77,75,66.6,98,66.75,90,83,-20,
ALB,Albania,UE Balkans,2023,57.86,96,47.76,124,35.13,148,67.61,68,68.37,77,70.45,93,103,7,1.45
ALB,Albania,UE Balkans,2024,54.1,99,42.27,110,34.64,142,67.47,69,66.96,71,59.16,112,96,-3,-3.76
ALB,Albania,UE Balkans,2025,58.18,80,38.62,119,31.69,147,69.51,53,65.85,68,85.21,70,99,19,4.08
AND,Andorra,Europe - Asie centrale,2022,68.79,53,68.12,50,50.41,54,69.12,71,68.8,91,87.48,22,39,-14,
AND,Andorra,UE Balkans,2023,75.05,37,74.69,31,55.39,49,77.12,42,75.28,62,92.78,10,53,16,6.26
AND,Andorra,UE Balkans,2024,61.44,72,55.07,63,36.46,130,65.38,74,57.14,105,93.15,13,37,-35,-13.61
AND,Andorra,UE Balkans,2025,63.3,65,56.13,57,39.1,105,67.39,68,61.48,84,92.41,21,72,7,1.86
ARE,United Arab Emirates,Maghreb - Moyen-Orient,2022,44.46,138,45.45,126,36.73,118,32.02,165,50.5,144,57.59,111,131,-7,
ARE,United Arab Emirates,MENA,2023,42.99,145,45.63,130,45.1,100,36.79,153,30.68,165,56.77,110,138,-7,-1.47
ARE,United Arab Emirates,MENA,2024,30.62,160,21.16,160,42.5,98,26.54,169,29.52,166,33.39,157,145,-15,-12.37
ARE,United Arab Emirates,MENA,2025,26.91,164,17.23,166,35.05,126,21.2,168,21.76,171,39.3,144,160,-4,-3.71
ARG,Argentina,Am̩riques,2022,77.28,29,76.36,28,51.53,50,90.68,2,85.75,29,82.06,39,69,40,
ARG,Argentina,Am̩riques,2023,73.36,40,75.25,30,49.8,71,90.66,2,76.82,53,74.27,86,29,-11,-3.92
ARG,Argentina,Am̩riques,2024,63.13,66,54.83,65,38.45,119,76.12,37,63.89,80,82.34,75,40,-26,-10.23
ARG,Argentina,Am̩riques,2025,56.14,87,38.91,115,35.49,122,71.81,48,55.85,105,78.64,89,66,-21,-6.99
ARM,Armenia,Europe - Asie centrale,2022,68.97,51,66.26,55,44.44,81,77.88,45,76.33,63,79.91,47,63,12,
ARM,Armenia,EEAC,2023,70.61,49,63.75,53,48.53,76,73.82,48,82.95,32,83.98,46,51,2,1.64
ARM,Armenia,EEAC,2024,71.6,43,63.13,47,48.18,70,78.25,30,78.57,33,89.88,34,49,6,0.99
ARM,Armenia,EEAC,2025,73.96,34,65.21,33,52.02,48,84.13,14,76.76,36,91.67,26,43,9,2.36
AUS,Australia,Asie-Pacifique,2022,73.77,39,77.17,27,63.44,30,64.18,96,84.17,33,79.88,48,25,-14,
AUS,Australia,Asie-Pacifique,2023,78.24,27,83.85,18,68.49,26,69.41,63,81.98,35,87.46,33,39,12,4.47
AUS,Australia,Asie-Pacifique,2024,73.42,39,74.43,25,64.58,27,69.23,60,70.41,59,88.44,47,27,-12,-4.82
AUS,Australia,Asie-Pacifique,2025,75.15,29,77.97,21,63.25,25,68.78,59,74.52,47,91.21,30,39,10,1.73
AUT,Austria,Europe - Asie centrale,2022,76.74,31,77.82,26,61.43,37,78.95,41,81.2,46,84.29,31,17,-14,
AUT,Austria,UE Balkans,2023,77.3,29,74.01,33,61.85,32,77.32,39,84.14,29,89.2,26,31,2,0.56
AUT,Austria,UE Balkans,2024,74.69,32,68.99,30,60.2,34,78.45,29,75.3,41,90.53,30,29,-3,-2.61
AUT,Austria,UE Balkans,2025,78.12,22,72.59,24,64.73,23,81.97,20,78.77,30,92.55,19,32,10,3.43
AZE,Azerbaijan,Europe - Asie centrale,2022,39.4,154,37.66,155,23.76,167,48.25,140,58.86,124,28.48,155,167,13,
AZE,Azerbaijan,EEAC,2023,39.93,151,35.45,165,25.91,173,38.95,149,50,135,49.35,126,154,3,0.53
AZE,Azerbaijan,EEAC,2024,27.99,164,17.08,173,18.01,179,35.85,154,37.76,147,31.27,159,151,-13,-11.94
AZE,Azerbaijan,EEAC,2025,25.47,167,17.44,164,16.15,175,35.02,154,30.2,164,28.57,160,164,-3,-2.52
BDI,Burundi,Afrique,2022,55.74,107,50.03,114,44.67,80,59.55,113,52.78,139,71.66,77,147,40,
BDI,Burundi,Afrique,2023,52.14,114,51.5,109,48.82,75,55.41,116,52.12,131,52.84,118,107,-7,-3.6
BDI,Burundi,Afrique,2024,51.78,108,45.32,100,44.89,85,53.32,113,58.01,103,57.37,115,114,6,-0.36
BDI,Burundi,Afrique,2025,45.44,125,41.98,101,38.61,106,47.86,126,50.35,121,48.39,123,108,-17,-6.34
BEL,Belgium,Europe - Asie centrale,2022,78.86,23,75.03,30,71.22,15,79.3,37,87.4,24,81.35,43,11,-12,
BEL,Belgium,UE Balkans,2023,76.47,31,79.06,24,62.09,31,78.3,36,82.39,33,80.53,65,23,-8,-2.39
BEL,Belgium,UE Balkans,2024,81.49,16,81.96,16,71.41,14,79.49,24,86.51,7,88.1,52,31,15,5.02
BEL,Belgium,UE Balkans,2025,80.12,18,79.16,19,69.15,14,79.9,31,81.8,18,90.58,37,16,-2,-1.37
BEN,Benin,Afrique,2022,48.39,121,47.73,117,28.19,158,57.46,118,55.5,132,53.1,119,114,-7,
BEN,Benin,Afrique,2023,52.44,112,48.98,119,39.83,125,56.01,111,63.49,89,53.9,117,121,9,4.05
BEN,Benin,Afrique,2024,56.73,89,47.68,93,39.48,115,57.31,102,63.33,83,75.83,93,112,23,4.29
BEN,Benin,Afrique,2025,54.6,92,40.69,108,359.91,121,55.21,108,65.55,70,75.58,97,89,-3,-2.13
BFA,Burkina Faso,Afrique,2022,73.12,41,78.99,23,67.69,26,75.58,52,87.83,22,55.52,113,37,-4,
BFA,Burkina Faso,Afrique,2023,67.64,58,62.81,57,58.33,41,67.45,69,81.25,38,75.55,83,41,-17,-5.48
BFA,Burkina Faso,Afrique,2024,58.24,86,47.94,92,54.89,47,62.8,84,63.92,79,61.64,108,58,-28,-9.4
BFA,Burkina Faso,Afrique,2025,52.25,105,41.9,102,50.38,55,59.41,95,62.75,80,46.82,126,86,-19,-5.99
BGD,Bangladesh,Asie-Pacifique,2022,36.63,162,42.12,140,32.48,138,44.15,148,48.5,149,15.88,172,152,-10,
BGD,Bangladesh,Asie-Pacifique,2023,35.31,163,39.06,154,36.11,142,35.22,154,36.55,157,29.6,167,162,-1,-1.32
BGD,Bangladesh,Asie-Pacifique,2024,27.64,165,19.36,167,27.83,167,31.32,158,32.65,157,27.03,167,163,-2,-7.67
BGD,Bangladesh,Asie-Pacifique,2025,33.71,149,29.03,145,33.79,134,36.71,150,39.87,144,29.17,159,165,16,6.07
BGR,Bulgaria,Europe - Asie centrale,2022,59.12,91,54.95,95,30.1,150,68.71,76,66.83,97,75.02,60,112,21,
BGR,Bulgaria,UE Balkans,2023,62.98,71,58.25,73,37.91,133,70.25,57,65.53,81,82.94,53,91,20,3.86
BGR,Bulgaria,UE Balkans,2024,65.32,59,60.63,50,41.6,105,72.24,50,67.06,70,85.08,61,71,12,2.34
BGR,Bulgaria,UE Balkans,2025,60.78,70,50.62,73,40.26,97,67.71,66,59.1,94,86.22,61,59,-11,-4.54
