IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,804,COUNTRY,PUBLISHED,Maternal mortality ratio,Ukraine,14.9480896,8.978529746,24.61556888
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,807,COUNTRY,PUBLISHED,Maternal mortality ratio,North Macedonia,2.758119716,1.267365864,4.96049598
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,818,COUNTRY,PUBLISHED,Maternal mortality ratio,Egypt,16.95241207,11.29201222,22.54805439
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,826,COUNTRY,PUBLISHED,Maternal mortality ratio,United Kingdom of Great Britain and Northern Ireland,8.305988831,5.872104461,11.75875954
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,834,COUNTRY,PUBLISHED,Maternal mortality ratio,United Republic of Tanzania,275.843788,192.0639278,429.0205761
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,840,COUNTRY,PUBLISHED,Maternal mortality ratio,United States of America,16.6325256,13.03591354,20.71519005
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,854,COUNTRY,PUBLISHED,Maternal mortality ratio,Burkina Faso,241.7867093,155.2016758,366.8955596
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,858,COUNTRY,PUBLISHED,Maternal mortality ratio,Uruguay,15.30536436,11.36485375,19.85460658
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,860,COUNTRY,PUBLISHED,Maternal mortality ratio,Uzbekistan,26.46381701,18.20188893,40.16748486
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,862,COUNTRY,PUBLISHED,Maternal mortality ratio,Venezuela (Bolivarian Republic of),226.685495,148.2795691,370.9936934
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,882,COUNTRY,PUBLISHED,Maternal mortality ratio,Samoa,101.487536,45.61508716,232.6933769
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,887,COUNTRY,PUBLISHED,Maternal mortality ratio,Yemen,118.4013266,71.07929565,212.2247474
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,894,COUNTRY,PUBLISHED,Maternal mortality ratio,Zambia,85.4503666,60.77543268,125.5463637
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,953,WHOREGION,PUBLISHED,Maternal mortality ratio,Africa,442.1225052,376.1795552,559.9091562
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,954,WHOREGION,PUBLISHED,Maternal mortality ratio,Americas,58.54117558,52.3087033,66.25130311
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,955,WHOREGION,PUBLISHED,Maternal mortality ratio,South-East Asia,96.25844996,85.83866773,111.5062342
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,956,WHOREGION,PUBLISHED,Maternal mortality ratio,Europe,11.1604228,9.855480815,12.89697938
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,957,WHOREGION,PUBLISHED,Maternal mortality ratio,Eastern Mediterranean,167.3747715,134.6939348,217.930942
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,958,WHOREGION,PUBLISHED,Maternal mortality ratio,Western Pacific,35.41851401,30.32615292,41.96353774
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,418,COUNTRY,PUBLISHED,Maternal mortality ratio,Lao People's Democratic Republic,112.1513662,75.07466501,182.4799045
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,422,COUNTRY,PUBLISHED,Maternal mortality ratio,Lebanon,14.97622671,11.24655827,21.0757669
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,426,COUNTRY,PUBLISHED,Maternal mortality ratio,Lesotho,478.0203695,297.7914146,724.7403137
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,428,COUNTRY,PUBLISHED,Maternal mortality ratio,Latvia,18.71678221,13.01821645,28.12376845
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,430,COUNTRY,PUBLISHED,Maternal mortality ratio,Liberia,627.71764,436.1128623,913.2930647
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,434,COUNTRY,PUBLISHED,Maternal mortality ratio,Libya,59.49735011,23.20017817,153.5168293
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,440,COUNTRY,PUBLISHED,Maternal mortality ratio,Lithuania,7.67441127,4.890560161,12.46329644
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,442,COUNTRY,PUBLISHED,Maternal mortality ratio,Luxembourg,11.68882415,6.991454468,18.87364619
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,450,COUNTRY,PUBLISHED,Maternal mortality ratio,Madagascar,445.4290222,325.5631398,651.9497113
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,454,COUNTRY,PUBLISHED,Maternal mortality ratio,Malawi,224.9501524,153.0403213,351.9180289
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,458,COUNTRY,PUBLISHED,Maternal mortality ratio,Malaysia,26.37990665,23.71708692,33.75616581
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,462,COUNTRY,PUBLISHED,Maternal mortality ratio,Maldives,31.82443638,22.27967658,50.00920676
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,466,COUNTRY,PUBLISHED,Maternal mortality ratio,Mali,367.3314713,267.5228826,497.9661282
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,470,COUNTRY,PUBLISHED,Maternal mortality ratio,Malta,8.393040802,3.928105048,14.28749598
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,478,COUNTRY,PUBLISHED,Maternal mortality ratio,Mauritania,381.0540883,262.6035897,560.9406146
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,480,COUNTRY,PUBLISHED,Maternal mortality ratio,Mauritius,65.90150636,43.54155496,105.0976007
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,484,COUNTRY,PUBLISHED,Maternal mortality ratio,Mexico,42.10605109,31.68329659,49.94773118
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,492,COUNTRY,PUBLISHED,Maternal mortality ratio,Monaco,5.220104526,2.315528079,11.84330879
